,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,G+A,Glsxx,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShotDistance,FKShots,PK,PKsAtt,xG,npxG,npxG/Sh,G-xG,npG-xG,PassesCompleted,PassesAttempted,TotCmp%,TotalPassDist,ProgPassDist,ShortPassCmp,ShortPassAtt,ShortPassCmp%,MedPassCmp,MedPassAtt,MedPassCmp%,LongPassCmp,LongPassAtt,LongPassCmp%,Assists,xAG,xA,A-xAG,KeyPasses,Final1/3Cmp,PenAreaCmp,CrsPenAreaCmp,ProgPasses,LivePass,DeadPass,FKPasses,ThruBalls,Switches,Crs,ThrowIn,CK,InSwingCK,OutSwingCK,StrCK,Cmpxxx,PassesToOff,PassesBlocked,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,Tkl,TklWinPoss,Def3rdTkl,Mid3rdTkl,Att3rdTkl,DrbTkl,DrbPastAtt,DrbTkl%,DrbPast,Blocks,ShBlocks,PassBlocks,Int,Tkl+Int,Clr,Err,Touches,DefPenTouch,Def3rdTouch,Mid3rdTouch,Att3rdTouch,AttPenTouch,LiveTouch,AttDrb,SuccDrb,DrbSucc%,TimesTackled,TimesTackled%,Carries,TotalCarryDistance,ProgCarryDistance,ProgCarries,CarriesToFinalThird,CarriesToPenArea,CarryMistakes,Disposesed,ReceivedPass,ProgPassesRec,Yellows,Reds,Yellow2,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerialWins,AerialLoss,AerialWin%,G+APer90,GlsxxPer90,GoalsPer90,ShotsPer90,SoTPer90,SoT%Per90,Sh/90Per90,SoT/90Per90,G/ShPer90,G/SoTPer90,AvgShotDistancePer90,FKShotsPer90,PKPer90,PKsAttPer90,xGPer90,npxGPer90,npxG/ShPer90,G-xGPer90,npG-xGPer90,PassesCompletedPer90,PassesAttemptedPer90,TotCmp%Per90,TotalPassDistPer90,ProgPassDistPer90,ShortPassCmpPer90,ShortPassAttPer90,ShortPassCmp%Per90,MedPassCmpPer90,MedPassAttPer90,MedPassCmp%Per90,LongPassCmpPer90,LongPassAttPer90,LongPassCmp%Per90,AssistsPer90,xAGPer90,xAPer90,A-xAGPer90,KeyPassesPer90,Final1/3CmpPer90,PenAreaCmpPer90,CrsPenAreaCmpPer90,ProgPassesPer90,LivePassPer90,DeadPassPer90,FKPassesPer90,ThruBallsPer90,SwitchesPer90,CrsPer90,ThrowInPer90,CKPer90,InSwingCKPer90,OutSwingCKPer90,StrCKPer90,CmpxxxPer90,PassesToOffPer90,PassesBlockedPer90,SCAPer90,SCA90Per90,SCAPassLivePer90,SCAPassDeadPer90,SCADribPer90,SCAShPer90,SCAFldPer90,SCADefPer90,GCAPer90,GCA90Per90,GCAPassLivePer90,GCAPassDeadPer90,GCADribPer90,GCAShPer90,GCAFldPer90,GCADefPer90,TklPer90,TklWinPossPer90,Def3rdTklPer90,Mid3rdTklPer90,Att3rdTklPer90,DrbTklPer90,DrbPastAttPer90,DrbTkl%Per90,DrbPastPer90,BlocksPer90,ShBlocksPer90,PassBlocksPer90,IntPer90,Tkl+IntPer90,ClrPer90,ErrPer90,TouchesPer90,DefPenTouchPer90,Def3rdTouchPer90,Mid3rdTouchPer90,Att3rdTouchPer90,AttPenTouchPer90,LiveTouchPer90,AttDrbPer90,SuccDrbPer90,DrbSucc%Per90,TimesTackledPer90,TimesTackled%Per90,CarriesPer90,TotalCarryDistancePer90,ProgCarryDistancePer90,ProgCarriesPer90,CarriesToFinalThirdPer90,CarriesToPenAreaPer90,CarryMistakesPer90,DisposesedPer90,ReceivedPassPer90,ProgPassesRecPer90,YellowsPer90,RedsPer90,Yellow2Per90,FlsPer90,FldPer90,OffPer90,PKwonPer90,PKconPer90,OGPer90,RecovPer90,AerialWinsPer90,AerialLossPer90,AerialWin%Per90,90sPer90,AvgTeamPoss,OppTouches,TeamMins,TeamTouches90,pAdjTkl+IntPer90,pAdjClrPer90,pAdjShBlocksPer90,pAdjPassBlocksPer90,pAdjIntPer90,pAdjDrbTklPer90,pAdjTklWinPossPer90,pAdjDrbPastPer90,pAdjAerialWinsPer90,pAdjAerialLossPer90,pAdjDrbPastAttPer90,TouchCentrality,Tkl+IntPer600OppTouch,pAdjTouchesPer90,CarriesPer50Touches,ProgCarriesPer50Touches,ProgPassesPer50CmpPasses,Main Position
0,0,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,34,1989,3,2,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,93.0,86.0,1381.0,532.0,45.0,51.0,88.2,24.0,31.0,77.4,9.0,9.0,100.0,0.0,0.1,0.2,-0.1,1.0,7.0,0.0,0.0,9.0,76.0,17.0,2.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,2.0,1.38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,100.0,5.0,32.0,46.0,22.0,0.0,100.0,1.0,0.0,0.0,1.0,100.0,59.0,140.0,44.0,1.0,1.0,0.0,0.0,1.0,66.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.38,64.38,59.54,956.08,368.31,31.15,35.31,61.06,16.62,21.46,53.58,6.23,6.23,69.23,0.0,0.07,0.14,-0.07,0.69,4.85,0.0,0.0,6.23,52.62,11.77,1.38,0.0,0.0,2.08,10.38,0.0,0.0,0.0,0.0,55.38,0.0,0.0,1.38,0.96,0.0,0.69,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.69,0.0,0.0,0.69,0.69,69.23,0.0,1.38,0.69,0.69,0.0,0.69,2.08,0.0,69.23,3.46,22.15,31.85,15.23,0.0,69.23,0.69,0.0,0.0,0.69,69.23,40.85,96.92,30.46,0.69,0.69,0.0,0.0,0.69,45.69,1.38,0.69,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0,1.44,42.2,12281.0,1530.0,560.88,0.6,1.8,0.6,0.6,0.0,0.6,0.6,0.0,0.87,0.87,0.6,12.34,0.57,82.03,29.5,0.5,5.62,Left-Back
1,1,Aaron Hickey,sct SCO,DF,Brentford,eng Premier League,21,2002,9,9,713.0,0.0,0.0,0.0,7.0,1.0,14.3,0.88,0.13,0.0,0.0,25.3,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,243.0,277.0,87.7,3813.0,894.0,134.0,140.0,95.7,92.0,106.0,86.8,14.0,20.0,70.0,0.0,0.1,0.1,-0.1,1.0,10.0,2.0,0.0,21.0,254.0,23.0,3.0,1.0,3.0,5.0,20.0,0.0,0.0,0.0,0.0,243.0,0.0,7.0,7.0,0.88,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,9.0,3.0,4.0,7.0,7.0,100.0,0.0,7.0,3.0,4.0,3.0,19.0,10.0,0.0,356.0,25.0,132.0,155.0,76.0,7.0,356.0,14.0,5.0,35.7,5.0,35.7,212.0,1107.0,505.0,9.0,3.0,1.0,14.0,5.0,225.0,13.0,5.0,0.0,0.0,10.0,16.0,0.0,0.0,0.0,0.0,42.0,1.0,9.0,10.0,0.0,0.0,0.0,0.88,0.13,1.81,0.11,0.02,0.0,0.0,3.19,0.0,0.0,0.0,0.03,0.03,0.0,-0.03,-0.03,30.67,34.96,11.07,481.3,112.85,16.91,17.67,12.08,11.61,13.38,10.96,1.77,2.52,8.84,0.0,0.01,0.01,-0.01,0.13,1.26,0.25,0.0,2.65,32.06,2.9,0.38,0.13,0.38,0.63,2.52,0.0,0.0,0.0,0.0,30.67,0.0,0.88,0.88,0.11,0.76,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,1.14,1.14,0.38,0.5,0.88,0.88,12.62,0.0,0.88,0.38,0.5,0.38,2.4,1.26,0.0,44.94,3.16,16.66,19.57,9.59,0.88,44.94,1.77,0.63,4.51,0.63,4.51,26.76,139.73,63.74,1.14,0.38,0.13,1.77,0.63,28.4,1.64,0.63,0.0,0.0,1.26,2.02,0.0,0.0,0.0,0.0,42.0,1.0,9.0,10.0,7.92,47.4,10731.0,1530.0,575.06,2.28,1.2,0.36,0.48,0.36,0.84,0.84,0.0,0.95,8.56,0.84,7.81,2.28,47.4,29.78,1.26,4.32,Left-Back
3,3,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,25,1998,5,5,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,151.0,74.8,2697.0,1943.0,36.0,36.0,100.0,52.0,53.0,98.1,25.0,61.0,41.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,124.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,158.0,113.0,150.0,8.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,107.0,564.0,332.0,0.0,0.0,0.0,1.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,30.2,14.96,539.4,388.6,7.2,7.2,20.0,10.4,10.6,19.62,5.0,12.2,8.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.4,24.8,5.4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,31.6,22.6,30.0,1.6,0.0,0.0,31.6,0.0,0.0,0.0,0.0,0.0,21.4,112.8,66.4,0.0,0.0,0.0,0.2,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,60.3,8627.0,1530.0,700.71,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51,0.0,26.2,33.86,0.0,0.88,Goalkeeper
4,4,Aaron Ramsey,eng ENG,"FW,MF",Burnley,eng Premier League,20,2003,8,2,258.0,0.0,0.0,0.0,3.0,1.0,33.3,1.05,0.35,0.0,0.0,18.5,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,67.0,80.0,83.8,1035.0,128.0,42.0,46.0,91.3,22.0,25.0,88.0,3.0,3.0,100.0,0.0,0.4,0.5,-0.4,1.0,5.0,1.0,0.0,6.0,75.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,67.0,1.0,4.0,3.0,1.05,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,1.0,2.0,3.0,8.0,37.5,5.0,7.0,0.0,7.0,0.0,7.0,4.0,0.0,126.0,7.0,25.0,59.0,44.0,6.0,126.0,10.0,3.0,30.0,6.0,60.0,69.0,332.0,146.0,8.0,2.0,4.0,10.0,6.0,85.0,10.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,10.0,3.0,1.0,75.0,0.0,0.0,0.0,1.05,0.35,11.62,0.37,0.12,0.0,0.0,6.45,0.0,0.0,0.0,0.03,0.03,0.01,-0.03,-0.03,23.37,27.91,29.23,361.05,44.65,14.65,16.05,31.85,7.67,8.72,30.7,1.05,1.05,34.88,0.0,0.14,0.17,-0.14,0.35,1.74,0.35,0.0,2.09,26.16,1.4,0.0,0.35,0.0,0.35,0.7,0.0,0.0,0.0,0.0,23.37,0.35,1.4,1.05,0.37,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,2.09,1.4,0.35,0.7,1.05,2.79,13.08,1.74,2.44,0.0,2.44,0.0,2.44,1.4,0.0,43.95,2.44,8.72,20.58,15.35,2.09,43.95,3.49,1.05,10.47,2.09,20.93,24.07,115.81,50.93,2.79,0.7,1.4,3.49,2.09,29.65,3.49,0.0,0.0,0.0,0.7,0.7,1.0,0.0,0.0,0.0,10.0,3.0,1.0,75.0,2.87,50.0,10635.0,1530.0,619.29,2.44,1.4,0.0,2.44,0.0,1.05,1.05,1.74,3.0,1.0,2.79,7.1,2.34,43.95,27.38,3.17,4.48,Central Midfield
5,5,Aaron Ramsey,eng ENG,"FW,MF",Burnley,eng Premier League,20,2003,8,2,258.0,0.0,0.0,0.0,3.0,1.0,33.3,1.05,0.35,0.0,0.0,18.5,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,67.0,80.0,83.8,1035.0,128.0,42.0,46.0,91.3,22.0,25.0,88.0,3.0,3.0,100.0,0.0,0.4,0.5,-0.4,1.0,5.0,1.0,0.0,6.0,75.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,67.0,1.0,4.0,3.0,1.05,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,1.0,2.0,3.0,8.0,37.5,5.0,7.0,0.0,7.0,0.0,7.0,4.0,0.0,126.0,7.0,25.0,59.0,44.0,6.0,126.0,10.0,3.0,30.0,6.0,60.0,69.0,332.0,146.0,8.0,2.0,4.0,10.0,6.0,85.0,10.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,10.0,3.0,1.0,75.0,0.0,0.0,0.0,1.05,0.35,11.62,0.37,0.12,0.0,0.0,6.45,0.0,0.0,0.0,0.03,0.03,0.01,-0.03,-0.03,23.37,27.91,29.23,361.05,44.65,14.65,16.05,31.85,7.67,8.72,30.7,1.05,1.05,34.88,0.0,0.14,0.17,-0.14,0.35,1.74,0.35,0.0,2.09,26.16,1.4,0.0,0.35,0.0,0.35,0.7,0.0,0.0,0.0,0.0,23.37,0.35,1.4,1.05,0.37,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,2.09,1.4,0.35,0.7,1.05,2.79,13.08,1.74,2.44,0.0,2.44,0.0,2.44,1.4,0.0,43.95,2.44,8.72,20.58,15.35,2.09,43.95,3.49,1.05,10.47,2.09,20.93,24.07,115.81,50.93,2.79,0.7,1.4,3.49,2.09,29.65,3.49,0.0,0.0,0.0,0.7,0.7,1.0,0.0,0.0,0.0,10.0,3.0,1.0,75.0,2.87,50.0,10635.0,1530.0,619.29,2.44,1.4,0.0,2.44,0.0,1.05,1.05,1.74,3.0,1.0,2.79,7.1,2.34,43.95,27.38,3.17,4.48,Attacking Midfield
7,7,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,eng Premier League,26,1997,8,6,525.0,1.0,0.0,0.0,1.0,0.0,0.0,0.17,0.0,0.0,0.0,26.8,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,263.0,317.0,83.0,3627.0,1217.0,160.0,184.0,87.0,87.0,96.0,90.6,10.0,18.0,55.6,1.0,1.1,0.9,-0.1,4.0,14.0,3.0,0.0,24.0,282.0,35.0,3.0,0.0,0.0,4.0,32.0,0.0,0.0,0.0,0.0,263.0,0.0,7.0,7.0,1.2,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,10.0,6.0,1.0,10.0,14.0,71.4,4.0,10.0,5.0,5.0,9.0,26.0,26.0,1.0,392.0,31.0,170.0,147.0,81.0,8.0,392.0,9.0,6.0,66.7,1.0,11.1,219.0,1022.0,525.0,12.0,7.0,2.0,8.0,4.0,225.0,13.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,38.0,5.0,5.0,50.0,0.17,0.0,0.0,0.17,0.0,0.0,0.03,0.0,0.0,0.0,4.59,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,45.09,54.34,14.23,621.77,208.63,27.43,31.54,14.91,14.91,16.46,15.53,1.71,3.09,9.53,0.17,0.19,0.15,-0.02,0.69,2.4,0.51,0.0,4.11,48.34,6.0,0.51,0.0,0.0,0.69,5.49,0.0,0.0,0.0,0.0,45.09,0.0,1.2,1.2,0.21,1.03,0.17,0.0,0.0,0.0,0.0,0.17,0.03,0.17,0.0,0.0,0.0,0.0,0.0,2.91,2.06,1.71,1.03,0.17,1.71,2.4,12.24,0.69,1.71,0.86,0.86,1.54,4.46,4.46,0.17,67.2,5.31,29.14,25.2,13.89,1.37,67.2,1.54,1.03,11.43,0.17,1.9,37.54,175.2,90.0,2.06,1.2,0.34,1.37,0.69,38.57,2.23,0.34,0.0,0.0,1.03,0.17,0.0,0.0,0.0,0.0,38.0,5.0,5.0,50.0,5.83,52.2,10381.0,1530.0,645.65,4.66,4.66,0.9,0.9,1.61,1.79,1.79,0.72,5.23,5.23,2.51,10.41,4.38,64.37,27.93,1.53,4.56,Right-Back
8,8,Aarón Martín,es ESP,DF,Genoa,it Serie A,26,1997,7,5,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,140.0,68.6,1635.0,631.0,48.0,53.0,90.6,33.0,46.0,71.7,12.0,31.0,38.7,0.0,0.3,0.3,-0.3,4.0,5.0,3.0,2.0,7.0,113.0,27.0,2.0,0.0,0.0,20.0,20.0,5.0,0.0,5.0,0.0,96.0,0.0,4.0,4.0,1.04,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,0.0,2.0,5.0,40.0,3.0,4.0,1.0,3.0,4.0,8.0,3.0,0.0,164.0,3.0,38.0,70.0,59.0,0.0,164.0,3.0,0.0,0.0,3.0,100.0,86.0,353.0,160.0,5.0,5.0,0.0,1.0,2.0,91.0,20.0,2.0,1.0,1.0,7.0,7.0,1.0,0.0,0.0,0.0,20.0,3.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,36.31,17.79,424.06,163.66,12.45,13.75,23.5,8.56,11.93,18.6,3.11,8.04,10.04,0.0,0.08,0.08,-0.08,1.04,1.3,0.78,0.52,1.82,29.31,7.0,0.52,0.0,0.0,5.19,5.19,1.3,0.0,1.3,0.0,24.9,0.0,1.04,1.04,0.27,0.52,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.52,0.26,0.78,0.0,0.52,1.3,10.37,0.78,1.04,0.26,0.78,1.04,2.07,0.78,0.0,42.54,0.78,9.86,18.16,15.3,0.0,42.54,0.78,0.0,0.0,0.78,25.94,22.31,91.56,41.5,1.3,1.3,0.0,0.26,0.52,23.6,5.19,0.52,0.26,0.26,1.82,1.82,1.0,0.0,0.0,0.0,20.0,3.0,1.0,75.0,3.86,42.3,10408.0,1440.0,501.12,1.8,0.67,0.22,0.67,0.9,0.45,0.45,0.67,2.6,0.87,1.12,8.49,1.91,50.28,26.22,1.52,3.65,Left-Back
13,13,Abdessamad Ezzalzouli,ma MAR,"FW,MF",Barcelona,es La Liga,22,2001,2,0,68.0,0.0,0.0,0.0,4.0,1.0,25.0,5.29,1.32,0.0,0.0,19.1,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,23.0,37.0,62.2,289.0,83.0,18.0,23.0,78.3,4.0,8.0,50.0,1.0,4.0,25.0,0.0,0.1,0.0,-0.1,2.0,0.0,2.0,1.0,1.0,32.0,5.0,0.0,0.0,0.0,7.0,4.0,1.0,1.0,0.0,0.0,23.0,0.0,1.0,2.0,2.65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,54.0,0.0,2.0,13.0,39.0,7.0,54.0,4.0,2.0,50.0,2.0,50.0,41.0,302.0,143.0,7.0,3.0,4.0,4.0,2.0,43.0,12.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,33.3,0.0,0.0,0.0,5.29,1.32,33.09,7.0,1.75,0.0,0.0,25.28,0.0,0.0,0.0,0.26,0.26,0.07,-0.26,-0.26,30.44,48.97,82.32,382.5,109.85,23.82,30.44,103.63,5.29,10.59,66.18,1.32,5.29,33.09,0.0,0.13,0.0,-0.13,2.65,0.0,2.65,1.32,1.32,42.35,6.62,0.0,0.0,0.0,9.26,5.29,1.32,1.32,0.0,0.0,30.44,0.0,1.32,2.65,3.51,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,1.32,0.0,0.0,1.32,0.0,1.32,0.0,1.32,1.32,0.0,1.32,0.0,1.32,0.0,0.0,71.47,0.0,2.65,17.21,51.62,9.26,71.47,5.29,2.65,66.18,2.65,66.18,54.26,399.71,189.26,9.26,3.97,5.29,5.29,2.65,56.91,15.88,0.0,0.0,0.0,1.32,3.97,0.0,0.0,0.0,0.0,2.0,1.0,2.0,33.3,0.76,64.7,7815.0,1530.0,758.65,1.87,0.0,0.0,1.87,0.0,0.0,0.0,1.87,1.42,2.83,1.87,9.42,1.73,55.23,37.96,6.48,2.17,Left Winger
14,14,Abdessamad Ezzalzouli,ma MAR,FW,Betis,es La Liga,22,2001,13,3,483.0,1.0,0.19,1.0,17.0,4.0,23.5,3.17,0.75,0.06,0.25,18.3,0.0,0.0,0.0,0.7,0.7,0.04,0.3,0.3,124.0,177.0,70.1,1530.0,421.0,85.0,103.0,82.5,30.0,46.0,65.2,2.0,6.0,33.3,0.0,0.2,0.3,-0.2,2.0,7.0,5.0,0.0,15.0,171.0,6.0,2.0,2.0,1.0,19.0,3.0,1.0,0.0,0.0,0.0,124.0,0.0,9.0,13.0,2.42,9.0,1.0,1.0,1.0,1.0,0.0,2.0,0.37,1.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,3.0,2.0,3.0,5.0,60.0,2.0,5.0,0.0,5.0,4.0,10.0,0.0,0.0,257.0,3.0,29.0,90.0,140.0,27.0,257.0,26.0,10.0,38.5,12.0,46.2,166.0,1523.0,907.0,34.0,20.0,18.0,12.0,15.0,187.0,52.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.0,0.0,27.0,4.0,8.0,33.3,0.19,0.04,0.19,3.17,0.75,4.38,0.59,0.14,0.01,0.05,3.41,0.0,0.0,0.0,0.13,0.13,0.01,0.06,0.06,23.11,32.98,13.06,285.09,78.45,15.84,19.19,15.37,5.59,8.57,12.15,0.37,1.12,6.2,0.0,0.04,0.06,-0.04,0.37,1.3,0.93,0.0,2.8,31.86,1.12,0.37,0.37,0.19,3.54,0.56,0.19,0.0,0.0,0.0,23.11,0.0,1.68,2.42,0.45,1.68,0.19,0.19,0.19,0.19,0.0,0.37,0.07,0.19,0.19,0.0,0.0,0.0,0.0,1.12,0.93,0.19,0.56,0.37,0.56,0.93,11.18,0.37,0.93,0.0,0.93,0.75,1.86,0.0,0.0,47.89,0.56,5.4,16.77,26.09,5.03,47.89,4.84,1.86,7.17,2.24,8.61,30.93,283.79,169.01,6.34,3.73,3.35,2.24,2.8,34.84,9.69,0.0,0.0,0.0,0.93,1.49,1.0,0.0,0.0,0.0,27.0,4.0,8.0,33.3,5.37,64.7,7815.0,1530.0,758.65,2.64,0.0,0.0,1.32,1.06,0.79,0.79,0.53,5.67,11.33,1.32,6.31,2.43,37.01,32.3,6.61,6.05,Left Winger
15,15,Abdou Harroui,nl NED,MF,Frosinone,it Serie A,25,1998,4,3,269.0,2.0,0.67,2.0,8.0,2.0,25.0,2.68,0.67,0.13,0.5,17.5,0.0,1.0,1.0,1.6,0.8,0.1,0.4,0.2,86.0,98.0,87.8,1201.0,262.0,51.0,54.0,94.4,25.0,30.0,83.3,4.0,5.0,80.0,0.0,0.1,0.2,-0.1,3.0,5.0,3.0,0.0,10.0,90.0,6.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,86.0,2.0,1.0,10.0,3.35,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,5.0,0.0,2.0,5.0,40.0,3.0,4.0,0.0,4.0,2.0,8.0,0.0,0.0,141.0,1.0,19.0,72.0,53.0,11.0,140.0,9.0,3.0,33.3,6.0,66.7,78.0,520.0,293.0,10.0,7.0,2.0,7.0,2.0,90.0,10.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,16.0,2.0,3.0,40.0,0.67,0.22,0.67,2.68,0.67,8.36,0.9,0.22,0.04,0.17,5.86,0.0,0.33,0.33,0.54,0.27,0.03,0.13,0.07,28.77,32.79,29.38,401.82,87.66,17.06,18.07,31.58,8.36,10.04,27.87,1.34,1.67,26.77,0.0,0.03,0.07,-0.03,1.0,1.67,1.0,0.0,3.35,30.11,2.01,0.33,0.0,0.33,0.67,0.67,0.0,0.0,0.0,0.0,28.77,0.67,0.33,3.35,1.12,2.68,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,1.67,0.33,1.67,0.0,0.67,1.67,13.38,1.0,1.34,0.0,1.34,0.67,2.68,0.0,0.0,47.17,0.33,6.36,24.09,17.73,3.68,46.84,3.01,1.0,11.14,2.01,22.32,26.1,173.98,98.03,3.35,2.34,0.67,2.34,0.67,30.11,3.35,0.0,0.0,0.0,1.67,1.34,1.0,0.0,0.0,0.0,16.0,2.0,3.0,40.0,2.99,52.1,8987.0,1440.0,605.19,2.79,0.0,0.0,1.4,0.7,0.7,0.7,1.05,2.09,3.13,1.75,7.8,2.86,45.27,27.66,3.55,5.81,Central Midfield
